;hotel_id;room_id;hotel_name;city_name;accommodation_type;room_name;room_surface_in_m2;room_facilities
0;10966441;1096644102;Apto belo e com churrasqueira na varanda VIC0203;Florianópolis;apartment;Apartamento;96.0;"['Taças de vinho', 'Secadora de roupas', 'Guarda-roupa ou armário', 'Fogão', 'Cozinha', 'Chaleira/cafeteira', 'Área para refeições', 'Vaso sanitário', 'Máquina de lavar roupas', 'Micro-ondas', 'Travesseiro comum', 'Varanda', 'Ferro de passar roupa', 'TV', 'Chuveiro', 'Secador de cabelo', 'Ar-condicionado', 'Área de estar', 'Internet', 'Mesa de jantar', 'Churrasqueira', 'Utensílios de cozinha', 'Forno', 'Geladeira', 'Cesto de lixo', 'Roupa de cama', 'Acessível por elevador', 'Toalhas', 'Banheiro privativo', 'Varal para secar roupas', 'Sofá']"
1;10966258;1096625802;Chalés encantadores em Urubici/SC - PAR;Urubici;apartment;Bangalô;65.0;"['Banheiro privativo', 'Geladeira', 'TV', 'Secador de cabelo', 'Ar-condicionado', 'Vista da montanha', 'Chaleira elétrica', 'Toda a unidade localizada no térreo', 'Toalhas', 'Mesa de jantar', 'Forno', 'Utensílios de cozinha', 'Chuveiro', 'Roupa de cama', 'Banheira de hidromassagem', 'Vaso sanitário', 'Jacuzzi', 'Cozinha', 'Fogão', 'Varanda', 'Guarda-roupa ou armário', 'Micro-ondas', 'Área para refeições', 'Sofá-cama', 'Cesto de lixo']"
2;10966118;1096611801;Casa em lindo cond. a 5min da praia PEV105;Ubatuba;holiday_home;Casa de 3 Quartos;220.0;"['Taças de vinho', 'Cozinha', 'Vaso sanitário', 'Chuveiro', 'Chave de acesso', 'Terraço', 'Chaleira/cafeteira', 'Ferro de passar roupa', 'Fogão', 'Guarda-roupa ou armário', 'Varanda', 'Micro-ondas', 'TV de tela plana', 'Sofá', 'Área de refeições externa', 'Lareira', 'Geladeira', 'Papel higiênico', 'Travesseiro comum', 'Ventilador', 'Andares superiores acessíveis somente por escada', 'Vista do jardim', 'Secador de cabelo', 'Mesa de jantar', 'Móveis na área externa', 'Máquina de lavar roupas', 'Cesto de lixo', 'Toalhas', 'Área de estar', 'Roupa de cama', 'Forno', 'Churrasqueira', 'Banheiro privativo', 'Independente', 'Vista', 'Área para refeições', 'Tomada perto da cama', 'TV']"
3;10961514;1096151402;Studio a 2min da UFSC Floripa-SC SSG0304;Florianópolis;apartment;Apartamento;51.0;"['Toalhas', 'Sofá-cama', 'Fogão', 'Chuveiro', 'Ferro de passar roupa', 'TV', 'Área de estar', 'Forno', 'Cozinha', 'Vaso sanitário', 'Área para refeições', 'Cesto de lixo', 'Utensílios de cozinha', 'Micro-ondas', 'Guarda-roupa ou armário', 'Varal para secar roupas', 'Roupa de cama', 'Banheiro privativo', 'Ar-condicionado', 'Geladeira']"
4;10960702;1096070202;MGI - Apartamentos proximos da praia do Tororão;Arraial d'Ajuda;apartment;Villa Deluxe;130.0;"['Guarda-roupa ou armário', 'Área para refeições', 'Mesa de jantar', 'Área de estar', 'Taças de vinho', 'Chuveiro', 'Ar-condicionado', 'Toalhas', 'Vaso sanitário', 'Roupa de cama', 'Banheiro privativo', 'Churrasqueira', 'TV', 'Internet', 'Cesto de lixo', 'Cozinha', 'Sofá-cama', 'Travesseiro comum', 'Geladeira']"
5;10959776;1095977602;Apartamentos no Jardim Goiás Goiânia/GO - THO;Goiânia;apartment;Apartamento;48.0;"['Banheiro privativo', 'Secador de cabelo', 'Shampoo', 'Sofá', 'Torradeira', 'Churrasqueira', 'Máquina de café', 'Produtos de higiene pessoal gratuitos', 'Fogão', 'Chuveiro', 'Utensílios de cozinha', 'Ferro de passar roupa', 'Cozinha', 'Ar-condicionado', 'Roupa de cama', 'Papel higiênico', 'Arara para roupas', 'Garrafa de água', 'Micro-ondas', 'Internet', 'Varanda', 'Toalhas', 'Mesa de trabalho', 'Produtos de limpeza', 'Geladeira', 'Cesto de lixo', 'Área de estar', 'Forno', 'Vaso sanitário', 'Guarda-roupa ou armário', 'TV']"
6;10949139;1094913902;Casa triplex em condomínio Floripa-SC ALI024;Florianópolis;holiday_home;Casa de Temporada;170.0;"['Área de estar', 'Toalete adicional', 'Utensílios de cozinha', 'Chuveiro', 'Roupa de cama', 'Varanda', 'Mesa de jantar', 'Guarda-roupa ou armário', 'Máquina de lavar roupas', 'Cozinha', 'Churrasqueira', 'Vaso sanitário', 'Geladeira', 'Ar-condicionado', 'TV', 'Andares superiores acessíveis somente por escada', 'Chaleira/cafeteira', 'Sofá', 'Fogão', 'Cesto de lixo', 'Micro-ondas', 'Forno', 'Varal para secar roupas', 'Toalhas', 'Ferro de passar roupa', 'Banheiro privativo', 'Área para refeições']"
7;10949029;1094902902;Studio próximo à Orla Maceió-AL EWV712;Maceió;apartment;Apartamento;38.0;"['Banheiro privativo', 'Guarda-roupa ou armário', 'Área para refeições', 'Chuveiro', 'TV', 'Toalhas', 'Cozinha', 'Ar-condicionado', 'Sofá', 'Mesa de jantar', 'Máquina de lavar roupas', 'Utensílios de cozinha', 'Ferro de passar roupa', 'Cesto de lixo', 'Roupa de cama', 'Geladeira', 'Fogão', 'Área de estar', 'Vaso sanitário', 'Micro-ondas']"
8;10948443;1094844302;Casa espaçosa com churrasqueira em Floripa AGN088;Florianópolis;holiday_home;Villa Deluxe;250.0;"['Lareira', 'Área para refeições', 'Churrasqueira', 'Taças de vinho', 'Travesseiro comum', 'TV', 'Cesto de lixo', 'Máquina de café', 'Roupa de cama', 'Varal para secar roupas', 'Banheiro privativo', 'Ar-condicionado', 'Ventilador', 'Vaso sanitário', 'Toalhas', 'Geladeira', 'Internet', 'Utensílios de cozinha', 'Área de refeições externa', 'Chuveiro', 'Guarda-roupa ou armário', 'Fogão', 'Cozinha', 'Forno', 'Móveis na área externa', 'Máquina de lavar roupas', 'Mesa de jantar', 'Ferro de passar roupa', 'Sofá-cama', 'Varanda', 'Varanda térrea', 'Toda a unidade localizada no térreo', 'Micro-ondas', 'Arara para roupas', 'Secador de cabelo', 'Área de estar']"
9;10948439;1094843901;Apto com piscina no centro de Floripa PCE0406;Florianópolis;apartment;Apartamento de 1 Quarto;32.0;"['Acessível por elevador', 'Chuveiro', 'Mesa de jantar', 'Chaleira/cafeteira', 'Torradeira', 'Geladeira', 'Vaso sanitário', 'Taças de vinho', 'Ferro de passar roupa', 'Banheiro privativo', 'TV de tela plana', 'Roupa de cama', 'Toalhas', 'TV', 'Cesto de lixo', 'Chave de acesso', 'Guarda-roupa ou armário', 'Área de estar', 'Cozinha compacta', 'Travesseiro comum', 'Chaleira elétrica', 'Forno', 'Fogão', 'Secador de cabelo', 'Papel higiênico', 'Micro-ondas', 'Independente', 'Tomada perto da cama', 'Sofá']"
10;10943450;1094345002;Apto espaçoso na beira do lago em Ilhéus ARS0169;Ilhéus;holiday_home;Casa de 3 Quartos;134.74;"['Fogão', 'Guarda-roupa ou armário', 'Toalhas', 'Chuveiro', 'Ar-condicionado', 'Cozinha', 'Forno', 'Travesseiro comum', 'Roupa de cama', 'Sofá-cama', 'Taças de vinho', 'Varal para secar roupas', 'Cesto de lixo', 'TV', 'Banheiro privativo', 'Ferro de passar roupa', 'Mesa de jantar', 'Micro-ondas', 'Área para refeições', 'Máquina de café', 'Vaso sanitário', 'Área de estar']"
11;10937685;1093768502;Ap 2 quartos-Setor Bueno-Ed Pontal Premium-PPB2308;Goiânia;apartment;Apartamento;58.0;"['Guarda-roupa ou armário', 'Mesa de jantar', 'Cozinha', 'Vaso sanitário', 'Shampoo', 'Toalhas', 'Torradeira', 'Banheiro privativo', 'Área para refeições', 'Roupa de cama', 'Ar-condicionado', 'Utensílios de cozinha', 'Garrafa de água', 'Ferro de passar roupa', 'TV', 'Máquina de lavar roupas', 'Produtos de limpeza', 'Arara para roupas', 'Fogão', 'Micro-ondas', 'Geladeira', 'Papel higiênico', 'Sofá', 'Área de estar', 'Internet', 'Varanda', 'Máquina de café', 'Varal para secar roupas', 'Cesto de lixo', 'Chuveiro']"
12;10936844;1093684402;Apto térreo com churrasqueira Ubatuba-SP NXI001;Ubatuba;apartment;Apartamento;35.0;"['Banheiro privativo', 'Guarda-roupa ou armário', 'Mesa de jantar', 'Toda a unidade localizada no térreo', 'Varal para secar roupas', 'Vaso sanitário', 'Geladeira', 'Utensílios de cozinha', 'Chaleira/cafeteira', 'Churrasqueira', 'Micro-ondas', 'Ar-condicionado', 'Forno', 'Toalhas', 'Sofá', 'Cesto de lixo', 'Cozinha', 'Área de estar', 'TV', 'Roupa de cama', 'Área para refeições', 'Fogão', 'Toalete compartilhado', 'Chuveiro']"
13;10936145;1093614501;SPJ's - Jurerê Spot;Florianópolis;apartment;Apartamento de 1 Quarto;20.0;[]
14;10936145;1093614502;SPJ's - Jurerê Spot;Florianópolis;apartment;Apartamento;20.0;[]
15;10936145;1093614503;SPJ's - Jurerê Spot;Florianópolis;apartment;Apartamento;20.0;"['Internet', 'Travesseiro comum', 'Chuveiro', 'Toalhas', 'Utensílios de cozinha', 'Acessível por elevador', 'Guarda-roupa ou armário', 'Detector de fumaça', 'Cesto de lixo', 'Roupa de cama', 'TV', 'Arara para roupas', 'Independente', 'Banheiro privativo', 'Extintor de incêndio', 'Cozinha', 'Secador de cabelo', 'Micro-ondas', 'Papel higiênico', 'Máquina de café', 'Vista do mar', 'Vaso sanitário', 'Torradeira', 'Vista', 'Ferro de passar roupa', 'Fogão', 'Tomada perto da cama', 'Ar-condicionado']"
16;10936145;1093614504;SPJ's - Jurerê Spot;Florianópolis;apartment;Apartamento;20.0;"['Banheiro privativo', 'Vista do mar', 'Papel higiênico', 'Tomada perto da cama', 'Máquina de café', 'Extintor de incêndio', 'Micro-ondas', 'Ar-condicionado', 'Cozinha', 'Detector de fumaça', 'Toalhas', 'Fogão', 'Arara para roupas', 'TV', 'Independente', 'Travesseiro comum', 'Chuveiro', 'Roupa de cama', 'Utensílios de cozinha', 'Internet', 'Guarda-roupa ou armário', 'Torradeira', 'Cesto de lixo', 'Vaso sanitário', 'Secador de cabelo', 'Vista', 'Ferro de passar roupa', 'Acessível por elevador']"
